Fecha,Hora,Altura de nieve,Direccion viento,Evaporacion,Humedad Relativa,Precipitacion,Presion Atmosferica,Punto de rocio,Radiacion solar,Rafagas,Sigma,Temperatura,UV,UVB,Velocidad del viento
03/02/2022,8,,350.1,,,,,,,,,19.2,,,1.23
03/02/2022,9,,209.5,,,,,,,,,23.41,,,1.43
03/02/2022,10,,211,,,,,,,,,24.42,,,3.12
03/02/2022,11,,226,,,,,,,,,25.5,,,3.16
03/02/2022,12,,234.8,,,,,,,,,26.64,,,3.82
03/02/2022,13,,232.1,,,,,,,,,27.71,,,4.24
03/02/2022,14,,234.2,,,,,,,,,28.26,,,4.88
03/02/2022,15,,215.6,,,,,,,,,28.02,,,6.19
03/02/2022,16,,227.9,,,,,,,,,27.25,,,7.2
03/02/2022,17,,227.5,,,,,,,,,25.99,,,8.29
03/02/2022,18,,215.1,,,,,,,,,24.05,,,8.86
03/02/2022,19,,218.1,,,,,,,,,21,,,7.27
03/02/2022,20,,220.1,,,,,,,,,18.87,,,4.38
03/02/2022,21,,207.6,,,,,,,,,17.24,,,3.07
03/02/2022,22,,204.3,,,,,,,,,16.15,,,1.56
03/02/2022,23,,177.5,,,,,,,,,14.65,,,1.16
04/02/2022,0,,93.8,,,,,,,,,13.85,,,1.12
04/02/2022,1,,162.4,,,,,,,,,13.51,,,1.46
04/02/2022,2,,189.8,,,,,,,,,12.69,,,1.65
04/02/2022,3,,47.9,,,,,,,,,10.99,,,1.76
04/02/2022,4,,42.8,,,,,,,,,10.47,,,1.68
04/02/2022,5,,38.5,,,,,,,,,10.1,,,1.62
04/02/2022,6,,61.3,,,,,,,,,10.54,,,1.91
04/02/2022,7,,31.4,,,,,,,,,14.15,,,2.2
04/02/2022,8,,341.7,,,,,,,,,20.28,,,1.3
04/02/2022,9,,26.9,,,,,,,,,24.2,,,2.4
04/02/2022,10,,348.2,,,,,,,,,24.65,,,3.2
04/02/2022,11,,280.3,,,,,,,,,25.75,,,4.17
04/02/2022,12,,281.9,,,,,,,,,26.31,,,4.31
04/02/2022,13,,284.3,,,,,,,,,27.22,,,4.16
04/02/2022,14,,292.5,,,,,,,,,28.06,,,4.09
04/02/2022,15,,268.3,,,,,,,,,28.78,,,3.98
04/02/2022,16,,266.2,,,,,,,,,28.72,,,5.31
04/02/2022,17,,251,,,,,,,,,27.33,,,7.07
04/02/2022,18,,213.8,,,,,,,,,24.18,,,9.74
04/02/2022,19,,212.2,,,,,,,,,21.33,,,7.38
04/02/2022,20,,218.1,,,,,,,,,19.38,,,3.66
04/02/2022,21,,224.4,,,,,,,,,17.56,,,2.58
04/02/2022,22,,196.2,,,,,,,,,16.45,,,1.55
04/02/2022,23,,108.7,,,,,,,,,13.58,,,1.16
05/02/2022,0,,345.3,,,,,,,,,12.63,,,1.14
05/02/2022,1,,81.7,,,,,,,,,13.27,,,2.08
05/02/2022,2,,30.1,,,,,,,,,12.28,,,1.67
05/02/2022,3,,67.3,,,,,,,,,11.67,,,2
05/02/2022,4,,32,,,,,,,,,11.9,,,2.03
05/02/2022,5,,30.2,,,,,,,,,11.55,,,2.17
05/02/2022,6,,36.3,,,,,,,,,10.89,,,2.44
05/02/2022,7,,345.5,,,,,,,,,13.95,,,1.73
05/02/2022,8,,337.2,,,,,,,,,20.09,,,1.17
05/02/2022,9,,2.5,,,,,,,,,24.44,,,1.23
05/02/2022,10,,359.4,,,,,,,,,25.52,,,3.01
05/02/2022,11,,331.6,,,,,,,,,26.22,,,3.72
05/02/2022,12,,298.2,,,,,,,,,27.05,,,3.62
05/02/2022,13,,288.2,,,,,,,,,27.7,,,4.6
05/02/2022,14,,285.8,,,,,,,,,28.53,,,3.69
05/02/2022,15,,305.7,,,,,,,,,29.6,,,3.61
05/02/2022,16,,223.4,,,,,,,,,28.6,,,7.39
05/02/2022,17,,226.5,,,,,,,,,26.54,,,8.69
05/02/2022,18,,232.1,,,,,,,,,24.74,,,7.46
05/02/2022,19,,217.1,,,,,,,,,21.61,,,6.14
05/02/2022,20,,223.9,,,,,,,,,19.61,,,3.41
05/02/2022,21,,194,,,,,,,,,18.01,,,2.15
05/02/2022,22,,73.5,,,,,,,,,16.59,,,1.29
05/02/2022,23,,79.6,,,,,,,,,14.96,,,2.2
06/02/2022,0,,17.9,,,,,,,,,13.76,,,1.04
06/02/2022,1,,56.2,,,,,,,,,13.99,,,2.35
06/02/2022,2,,36.9,,,,,,,,,12.28,,,1.49
06/02/2022,3,,24.7,,,,,,,,,12.62,,,1.89
06/02/2022,4,,28.4,,,,,,,,,12.31,,,1.66
06/02/2022,5,,16.9,,,,,,,,,12.44,,,1.85
06/02/2022,6,,30.7,,,,,,,,,11.57,,,2.64
06/02/2022,7,,3.5,,,,,,,,,14.77,,,1.93
06/02/2022,8,,6.2,,,,,,,,,20.16,,,1.29
06/02/2022,9,,306.8,,,,,,,,,23.99,,,1.29
06/02/2022,10,,310.7,,,,,,,,,26.13,,,2.36
06/02/2022,11,,315.7,,,,,,,,,27.05,,,2.69
06/02/2022,12,,324.3,,,,,,,,,28.03,,,3.06
06/02/2022,13,,291,,,,,,,,,28.97,,,3.86
06/02/2022,14,,276.6,,,,,,,,,29.83,,,4.26
06/02/2022,15,,276.1,,,,,,,,,30.44,,,4.09
06/02/2022,16,,253.5,,,,,,,,,28.81,,,8.33
06/02/2022,17,,225.4,,,,,,,,,27.06,,,7.6
06/02/2022,18,,218.1,,,,,,,,,24.82,,,7.49
06/02/2022,19,,213.8,,,,,,,,,21.56,,,5.99
06/02/2022,20,,217.9,,,,,,,,,19.54,,,3.52
06/02/2022,21,,218.2,,,,,,,,,17.65,,,2.39
06/02/2022,22,,234.7,,,,,,,,,16.55,,,1.12
06/02/2022,23,,76,,,,,,,,,15.69,,,1.29
07/02/2022,0,,41.4,,,,,,,,,13.75,,,0.92
07/02/2022,1,,60,,,,,,,,,12.99,,,1.27
07/02/2022,2,,39.8,,,,,,,,,12.72,,,1.77
07/02/2022,3,,49.3,,,,,,,,,13,,,2.01
07/02/2022,4,,42.7,,,,,,,,,12.22,,,2.13
07/02/2022,5,,13.5,,,,,,,,,12.38,,,2.48
07/02/2022,6,,12.4,,,,,,,,,12.66,,,2.44
07/02/2022,7,,5.8,,,,,,,,,15.66,,,2.17
07/02/2022,8,,312.4,,,,,,,,,21.31,,,1.45
07/02/2022,9,,299.4,,,,,,,,,25.73,,,1.35
07/02/2022,10,,266.3,,,,,,,,,26.28,,,3.55
07/02/2022,11,,247.9,,,,,,,,,27,,,3.93
07/02/2022,12,,248.9,,,,,,,,,28.22,,,3.63
07/02/2022,13,,254.1,,,,,,,,,29.2,,,3.9
07/02/2022,14,,215.9,,,,,,,,,29.08,,,6.97
07/02/2022,15,,213.1,,,,,,,,,28.26,,,8.22
07/02/2022,16,,216.3,,,,,,,,,27.33,,,8.16
07/02/2022,17,,215.2,,,,,,,,,25.7,,,9.58
07/02/2022,18,,216.4,,,,,,,,,23.38,,,8.64
07/02/2022,19,,223.7,,,,,,,,,20.72,,,6
07/02/2022,20,,222.9,,,,,,,,,18.34,,,4.7
07/02/2022,21,,199.8,,,,,,,,,16.52,,,1.86
07/02/2022,22,,154.5,,,,,,,,,15.84,,,1.14
07/02/2022,23,,64,,,,,,,,,14.52,,,0.87
08/02/2022,0,,127.9,,,,,,,,,13.75,,,1.21
08/02/2022,1,,103.1,,,,,,,,,13.07,,,0.94
08/02/2022,2,,53.5,,,,,,,,,12.19,,,1.28
08/02/2022,3,,50.3,,,,,,,,,12.27,,,2.3
08/02/2022,4,,53.9,,,,,,,,,11.63,,,1.86
08/02/2022,5,,32,,,,,,,,,11.41,,,2.21
08/02/2022,6,,35.6,,,,,,,,,12.11,,,2.22
08/02/2022,7,,17.2,,,,,,,,,14.74,,,1.88
08/02/2022,8,,9.5,,,,,,,,,19.29,,,1.79
08/02/2022,9,,356.8,,,,,,,,,22.72,,,2.19
08/02/2022,10,,331.5,,,,,,,,,24.38,,,2.6
08/02/2022,11,,304.7,,,,,,,,,25.89,,,3.15
08/02/2022,12,,284.4,,,,,,,,,26.98,,,3.4
08/02/2022,13,,314.8,,,,,,,,,27.79,,,4.19
08/02/2022,14,,302.6,,,,,,,,,28.9,,,4.54
08/02/2022,15,,262,,,,,,,,,29.22,,,5.93
08/02/2022,16,,228,,,,,,,,,27.54,,,7.44
08/02/2022,17,,218.7,,,,,,,,,25.34,,,8.23
08/02/2022,18,,226.7,,,,,,,,,22.6,,,6.98
08/02/2022,19,,214.9,,,,,,,,,19.52,,,5.57
08/02/2022,20,,211.1,,,,,,,,,17.46,,,3.39
08/02/2022,21,,191.8,,,,,,,,,16.5,,,1.56
08/02/2022,22,,258.7,,,,,,,,,15.92,,,1.34
08/02/2022,23,,56.4,,,,,,,,,15.14,,,1.16
09/02/2022,0,,70.3,,,,,,,,,14.55,,,0.89
09/02/2022,1,,121.7,,,,,,,,,13.43,,,1.15
09/02/2022,2,,344.8,,,,,,,,,13.69,,,1.35
09/02/2022,3,,45.4,,,,,,,,,14.73,,,2.27
09/02/2022,4,,87.6,,,,,,,,,11.93,,,1.52
09/02/2022,5,,74.1,,,,,,,,,11.3,,,1.36
09/02/2022,6,,77.8,,,,,,,,,11.46,,,1.53
09/02/2022,7,,329,,,,,,,,,14.35,,,1.07
09/02/2022,8,,268.3,,,,,,,,,19.67,,,1.7
09/02/2022,9,,290.9,,,,,,,,,22.56,,,2.74
09/02/2022,10,,331.5,,,,,,,,,23.69,,,3.39
09/02/2022,11,,324.2,,,,,,,,,24.55,,,4.22
09/02/2022,12,,306.8,,,,,,,,,25.8,,,4.44
09/02/2022,13,,292.4,,,,,,,,,26.89,,,4.4
09/02/2022,14,,265.5,,,,,,,,,27.86,,,5.27
09/02/2022,15,,225.4,,,,,,,,,26.27,,,8.03
09/02/2022,16,,222.3,,,,,,,,,24.68,,,7.88
09/02/2022,17,,221.2,,,,,,,,,23.12,,,7.16
09/02/2022,18,,223.1,,,,,,,,,21.5,,,5.9
09/02/2022,19,,217.5,,,,,,,,,18.92,,,4.83
09/02/2022,20,,202.8,,,,,,,,,16.91,,,2.68
09/02/2022,21,,231.6,,,,,,,,,15.9,,,1.04
09/02/2022,22,,19.6,,,,,,,,,15.83,,,2.16
09/02/2022,23,,12.6,,,,,,,,,15.9,,,5.45
10/02/2022,0,,11.6,,,,,,,,,15.24,,,5.08
10/02/2022,1,,38.7,,,,,,,,,13.85,,,5.09
10/02/2022,2,,62.7,,,,,,,,,13.61,,,3.79
10/02/2022,3,,57.1,,,,,,,,,13.36,,,4.31
10/02/2022,4,,67.5,,,,,,,,,12.61,,,3.33
10/02/2022,5,,67.9,,,,,,,,,10.77,,,1.59
10/02/2022,6,,239.4,,,,,,,,,11.05,,,1.13
10/02/2022,7,,243.1,,,,,,,,,13.96,,,0.9
10/02/2022,8,,12.4,,,,,,,,,18.04,,,1.87
10/02/2022,9,,3.7,,,,,,,,,19.07,,,4.46
10/02/2022,10,,331.2,,,,,,,,,20.99,,,4.22
10/02/2022,11,,306.7,,,,,,,,,22.78,,,4.5
10/02/2022,12,,302.1,,,,,,,,,24.33,,,4.53
10/02/2022,13,,301.7,,,,,,,,,25.3,,,4.8
10/02/2022,14,,304.6,,,,,,,,,26.04,,,4.5
10/02/2022,15,,244.6,,,,,,,,,26.46,,,5.79
10/02/2022,16,,217.2,,,,,,,,,24.69,,,8.06
10/02/2022,17,,221.4,,,,,,,,,22.85,,,7.86
10/02/2022,18,,210.9,,,,,,,,,20.44,,,8.68
10/02/2022,19,,208.3,,,,,,,,,17.61,,,6.54
10/02/2022,20,,213.1,,,,,,,,,15.79,,,2.87
10/02/2022,21,,218.1,,,,,,,,,14.75,,,2.02
10/02/2022,22,,242.9,,,,,,,,,14.23,,,0.81
10/02/2022,23,,93.3,,,,,,,,,13.74,,,1.86
11/02/2022,0,,32.3,,,,,,,,,13.73,,,3.17
11/02/2022,1,,18.1,,,,,,,,,14.24,,,4.17
11/02/2022,2,,68.2,,,,,,,,,12.86,,,3.22
11/02/2022,3,,61.5,,,,,,,,,11.54,,,2.47
11/02/2022,4,,56.1,,,,,,,,,10.2,,,2.11
11/02/2022,5,,9.1,,,,,,,,,10.3,,,1.86
11/02/2022,6,,7.8,,,,,,,,,10.48,,,1.9
11/02/2022,7,,58.2,,,,,,,,,13.33,,,1.84
11/02/2022,8,,30.1,,,,,,,,,17.39,,,1.84
11/02/2022,9,,19,,,,,,,,,21.27,,,1.75
11/02/2022,10,,330.2,,,,,,,,,22.59,,,2.94
11/02/2022,11,,318,,,,,,,,,23.64,,,3.6
11/02/2022,12,,330.5,,,,,,,,,24.68,,,4.56
11/02/2022,13,,340.9,,,,,,,,,25.49,,,6.04
11/02/2022,14,,333.3,,,,,,,,,26.37,,,6.98
11/02/2022,15,,332.5,,,,,,,,,27.27,,,6.22
11/02/2022,16,,305.1,,,,,,,,,27.89,,,5.18
11/02/2022,17,,246.9,,,,,,,,,27.51,,,5.87
11/02/2022,18,,250.3,,,,,,,,,25.09,,,6.24
11/02/2022,19,,267.1,,,,,,,,,22.07,,,5.99
11/02/2022,20,,237.9,,,,,,,,,19.59,,,3.71
11/02/2022,21,,217.2,,,,,,,,,17.35,,,1.93
11/02/2022,22,,21,,,,,,,,,16.47,,,1.03
11/02/2022,23,,77.1,,,,,,,,,15.38,,,1.72
12/02/2022,0,,44.4,,,,,,,,,15.3,,,2.84
12/02/2022,1,,60.2,,,,,,,,,15.98,,,3.91
12/02/2022,2,,61.4,,,,,,,,,13.85,,,3.99
12/02/2022,3,,78.6,,,,,,,,,12.82,,,3.41
12/02/2022,4,,69.1,,,,,,,,,11.68,,,3.21
12/02/2022,5,,45.3,,,,,,,,,10.75,,,2.3
12/02/2022,6,,29.8,,,,,,,,,10.6,,,2.09
12/02/2022,7,,34.5,,,,,,,,,13.21,,,2.3
12/02/2022,8,,38.6,,,,,,,,,17.3,,,2.42
12/02/2022,9,,15.4,,,,,,,,,20.35,,,2.48
12/02/2022,10,,325.2,,,,,,,,,22.62,,,2.59
12/02/2022,11,,337.8,,,,,,,,,23.62,,,3.42
12/02/2022,12,,308.6,,,,,,,,,25.68,,,2.64
12/02/2022,13,,294.5,,,,,,,,,27.09,,,2.88
12/02/2022,14,,312.5,,,,,,,,,28,,,3.65
12/02/2022,15,,314.9,,,,,,,,,28.87,,,4.1
12/02/2022,16,,278.5,,,,,,,,,29.42,,,5.03
12/02/2022,17,,254.5,,,,,,,,,28.04,,,6.93
12/02/2022,18,,239.4,,,,,,,,,26.02,,,6.6
12/02/2022,19,,216.2,,,,,,,,,21.84,,,6.42
12/02/2022,20,,219.7,,,,,,,,,19.25,,,4.77
12/02/2022,21,,211.6,,,,,,,,,17.38,,,2.66
12/02/2022,22,,162.7,,,,,,,,,16.43,,,1.69
12/02/2022,23,,85.9,,,,,,,,,15.35,,,0.6
13/02/2022,0,,15.5,,,,,,,,,14.42,,,0.49
13/02/2022,1,,38.6,,,,,,,,,14.49,,,1.95
13/02/2022,2,,49.5,,,,,,,,,13.64,,,3.24
13/02/2022,3,,70.8,,,,,,,,,14.05,,,3.34
13/02/2022,4,,64,,,,,,,,,12.04,,,2.16
13/02/2022,5,,39.7,,,,,,,,,10.96,,,1.35
13/02/2022,6,,42.7,,,,,,,,,11.24,,,1.83
13/02/2022,7,,32.8,,,,,,,,,14.26,,,2.06
13/02/2022,8,,26,,,,,,,,,18.76,,,1.85
13/02/2022,9,,17.5,,,,,,,,,21.37,,,2.18
13/02/2022,10,,341.4,,,,,,,,,22.91,,,2.99
13/02/2022,11,,338.4,,,,,,,,,24.43,,,2.98
13/02/2022,12,,312.8,,,,,,,,,25.83,,,3.22
13/02/2022,13,,291,,,,,,,,,27.1,,,3.22
13/02/2022,14,,295.9,,,,,,,,,28.68,,,3.37
13/02/2022,15,,264.3,,,,,,,,,29.73,,,4.37
13/02/2022,16,,232.5,,,,,,,,,28.49,,,7.58
13/02/2022,17,,230.8,,,,,,,,,26.95,,,7.08
13/02/2022,18,,221.1,,,,,,,,,25.43,,,6.29
13/02/2022,19,,225.9,,,,,,,,,22.64,,,5.21
13/02/2022,20,,250.6,,,,,,,,,20.52,,,3.67
13/02/2022,21,,232.7,,,,,,,,,18.76,,,1.67
13/02/2022,22,,44,,,,,,,,,17.33,,,1.8
13/02/2022,23,,76.8,,,,,,,,,15.95,,,1.01
14/02/2022,0,,347.4,,,,,,,,,15.13,,,0.8
14/02/2022,1,,50.2,,,,,,,,,15.08,,,2.67
14/02/2022,2,,71.9,,,,,,,,,15.09,,,2.98
14/02/2022,3,,61.6,,,,,,,,,13.09,,,1.98
14/02/2022,4,,41.5,,,,,,,,,12.33,,,1.88
14/02/2022,5,,48.6,,,,,,,,,12.28,,,2.47
14/02/2022,6,,53.6,,,,,,,,,12.44,,,3.18
14/02/2022,7,,34.1,,,,,,,,,14.06,,,2.17
14/02/2022,8,,36.6,,,,,,,,,18.49,,,2.4
14/02/2022,9,,12.7,,,,,,,,,22.27,,,2.84
14/02/2022,10,,340.1,,,,,,,,,23.35,,,4.92
14/02/2022,11,,342.4,,,,,,,,,24.98,,,4.54
14/02/2022,12,,329.2,,,,,,,,,26,,,4
14/02/2022,13,,300.4,,,,,,,,,27.63,,,3.3
14/02/2022,14,,304.2,,,,,,,,,28.43,,,4.17
14/02/2022,15,,239.4,,,,,,,,,29.42,,,5.88
14/02/2022,16,,243.9,,,,,,,,,28.26,,,7.31
14/02/2022,17,,240.9,,,,,,,,,27.39,,,5.96
14/02/2022,18,,244.7,,,,,,,,,26.26,,,5.65
14/02/2022,19,,220.6,,,,,,,,,22.12,,,6.1
14/02/2022,20,,220,,,,,,,,,18.94,,,3.77
14/02/2022,21,,206,,,,,,,,,17.01,,,2
14/02/2022,22,,210,,,,,,,,,16.59,,,0.93
14/02/2022,23,,268.7,,,,,,,,,16.09,,,0.55
15/02/2022,0,,51.2,,,,,,,,,15.74,,,1.22
15/02/2022,1,,43.4,,,,,,,,,14.79,,,3.22
15/02/2022,2,,69.5,,,,,,,,,14.48,,,2.6
15/02/2022,3,,23.2,,,,,,,,,13.56,,,1.28
15/02/2022,4,,55.2,,,,,,,,,13.93,,,1.89
15/02/2022,5,,29.1,,,,,,,,,12.48,,,1.43
15/02/2022,6,,332,,,,,,,,,12.71,,,1.48
15/02/2022,7,,85.8,,,,,,,,,15.17,,,2.35
15/02/2022,8,,39.9,,,,,,,,,18.94,,,1.91
15/02/2022,9,,358.9,,,,,,,,,22.68,,,1.39
15/02/2022,10,,213.3,,,,,,,,,25.37,,,2.12
15/02/2022,11,,275,,,,,,,,,26.2,,,2.95
15/02/2022,12,,293.9,,,,,,,,,27.47,,,3.22
15/02/2022,13,,315.3,,,,,,,,,28.26,,,4.13
15/02/2022,14,,259.9,,,,,,,,,29.6,,,4.14
15/02/2022,15,,225.8,,,,,,,,,28.9,,,7.43
15/02/2022,16,,222.8,,,,,,,,,27.67,,,6.91
15/02/2022,17,,221.9,,,,,,,,,26.64,,,6.72
15/02/2022,18,,218,,,,,,,,,24.39,,,7.03
15/02/2022,19,,217.9,,,,,,,,,21.15,,,6.04
15/02/2022,20,,216.3,,,,,,,,,19.05,,,4.37
15/02/2022,21,,208.4,,,,,,,,,17.8,,,2.17
15/02/2022,22,,237.9,,,,,,,,,17.29,,,1.52
15/02/2022,23,,38.1,,,,,,,,,16.22,,,1.51
16/02/2022,0,,31.7,,,,,,,,,16.14,,,2.91
16/02/2022,1,,34.8,,,,,,,,,14.87,,,4.3
16/02/2022,2,,82.6,,,,,,,,,14.36,,,2.81
16/02/2022,3,,136.8,,,,,,,,,13.26,,,1.18
16/02/2022,4,,50,,,,,,,,,13.18,,,1.5
16/02/2022,5,,71.2,,,,,,,,,13.16,,,1.94
16/02/2022,6,,56.8,,,,,,,,,12.51,,,2.18
16/02/2022,7,,10.4,,,,,,,,,14.61,,,1.66
16/02/2022,8,,12.7,,,,,,,,,19.47,,,1.54
16/02/2022,9,,272.1,,,,,,,,,23.6,,,1.61
16/02/2022,10,,256.6,,,,,,,,,24.72,,,2.71
16/02/2022,11,,243.7,,,,,,,,,26.32,,,3.27
16/02/2022,12,,221.8,,,,,,,,,28.14,,,3.55
16/02/2022,13,,221.6,,,,,,,,,29.42,,,4.8
16/02/2022,14,,235.2,,,,,,,,,29.66,,,5.65
16/02/2022,15,,224.5,,,,,,,,,29.24,,,7.17
16/02/2022,16,,223.1,,,,,,,,,27.5,,,7.86
16/02/2022,17,,216.9,,,,,,,,,25.93,,,7.55
16/02/2022,18,,209.1,,,,,,,,,23.79,,,7.24
16/02/2022,19,,213.2,,,,,,,,,20.76,,,5.57
16/02/2022,20,,209.7,,,,,,,,,18.36,,,4.06
16/02/2022,21,,222,,,,,,,,,17.38,,,2.11
16/02/2022,22,,139.9,,,,,,,,,16.97,,,1.23
16/02/2022,23,,20.4,,,,,,,,,16.27,,,1.16
17/02/2022,0,,47.2,,,,,,,,,15.37,,,2.52
17/02/2022,1,,53.2,,,,,,,,,14.84,,,2.3
17/02/2022,2,,238.3,,,,,,,,,13.45,,,0.98
17/02/2022,3,,34.8,,,,,,,,,13.74,,,1.89
17/02/2022,4,,27.1,,,,,,,,,13.03,,,4.27
17/02/2022,5,,43.5,,,,,,,,,13.04,,,3.42
17/02/2022,6,,53.6,,,,,,,,,12.97,,,3.44
17/02/2022,7,,41.1,,,,,,,,,14.65,,,2.04
17/02/2022,8,,28.2,,,,,,,,,19.21,,,1.64
17/02/2022,9,,350.8,,,,,,,,,22.3,,,3.08
17/02/2022,10,,322.7,,,,,,,,,24.96,,,3.44
17/02/2022,11,,300.5,,,,,,,,,26.37,,,3.1
17/02/2022,12,,299.9,,,,,,,,,27.82,,,2.62
17/02/2022,13,,292.1,,,,,,,,,29.19,,,3.33
17/02/2022,14,,238.5,,,,,,,,,30.34,,,4.78
17/02/2022,15,,228.2,,,,,,,,,28.82,,,6.9
17/02/2022,16,,227.3,,,,,,,,,27.61,,,6.72
17/02/2022,17,,216.5,,,,,,,,,26.26,,,6.41
17/02/2022,18,,216.4,,,,,,,,,24.33,,,6.3
17/02/2022,19,,208.3,,,,,,,,,21.6,,,5.15
17/02/2022,20,,206.8,,,,,,,,,19.85,,,2.77
17/02/2022,21,,216.3,,,,,,,,,18.55,,,1.33
17/02/2022,22,,18.9,,,,,,,,,18.21,,,2.18
17/02/2022,23,,23.5,,,,,,,,,16.92,,,3.87
18/02/2022,0,,27.5,,,,,,,,,16.04,,,4.35
18/02/2022,1,,4.4,,,,,,,,,15.77,,,6.7
18/02/2022,2,,7.3,,,,,,,,,14.93,,,5.48
18/02/2022,3,,46.7,,,,,,,,,13.53,,,4.59
18/02/2022,4,,30.2,,,,,,,,,12.93,,,3.33
18/02/2022,5,,21.2,,,,,,,,,13.11,,,3.75
18/02/2022,6,,55.2,,,,,,,,,12.4,,,3.28
18/02/2022,7,,51.4,,,,,,,,,13.98,,,2.92
18/02/2022,8,,37.3,,,,,,,,,16.72,,,2.12
18/02/2022,9,,21.9,,,,,,,,,18.94,,,3.08
18/02/2022,10,,353.1,,,,,,,,,21.32,,,4.29
18/02/2022,11,,341.7,,,,,,,,,23.32,,,4.57
18/02/2022,12,,341.3,,,,,,,,,24.91,,,4.56
18/02/2022,13,,323.5,,,,,,,,,26.27,,,4.41
18/02/2022,14,,304.1,,,,,,,,,27.5,,,4.29
18/02/2022,15,,309.5,,,,,,,,,28.16,,,4.32
18/02/2022,16,,289.9,,,,,,,,,28.71,,,5.31
18/02/2022,17,,227,,,,,,,,,27.05,,,6.88
18/02/2022,18,,227.6,,,,,,,,,24.78,,,5.54
18/02/2022,19,,224.5,,,,,,,,,22.06,,,3.87
18/02/2022,20,,213.9,,,,,,,,,19.92,,,3.48
18/02/2022,21,,231.8,,,,,,,,,18.54,,,2.14
18/02/2022,22,,102.3,,,,,,,,,18.2,,,1.39
18/02/2022,23,,28.2,,,,,,,,,17.67,,,3.83
19/02/2022,0,,23.6,,,,,,,,,16.91,,,4.23
